entity_id,bioguide_id,name,state,party,chamber
M:K000404,K000404,Kimberlyn King-Hinds,MP,Republican,House
M:L000273,L000273,Teresa Leger Fernandez,NM,Democrat,House
M:L000557,L000557,John B. Larson,CT,Democrat,House
M:L000560,L000560,Rick Larsen,WA,Democrat,House
M:L000570,L000570,Ben Ray Luján,NM,Democrat,Senate
M:L000582,L000582,Ted Lieu,CA,Democrat,House
M:L000590,L000590,Susie Lee,NV,Democrat,House
M:L000599,L000599,Michael Lawler,NY,Republican,House
M:L000602,L000602,Summer L. Lee,PA,Democrat,House
M:L000607,L000607,Sam T. Liccardo,CA,Democrat,House
M:M000317,M000317,Nicole Malliotakis,NY,Republican,House
M:M000687,M000687,Kweisi Mfume,MD,Democrat,House
M:M001111,M001111,Patty Murray,WA,Democrat,Senate
M:M001137,M001137,Gregory W. Meeks,NY,Democrat,House
M:M001160,M001160,Gwen Moore,WI,Democrat,House
M:M001163,M001163,Doris O. Matsui,CA,Democrat,House
M:M001169,M001169,Christopher Murphy,CT,Democrat,Senate
M:M001176,M001176,Jeff Merkley,OR,Democrat,Senate
M:M001194,M001194,John R. Moolenaar,MI,Republican,House
M:M001196,M001196,Seth Moulton,MA,Democrat,House
M:M001205,M001205,Carol D. Miller,WV,Republican,House
M:M001206,M001206,Joseph D. Morelle,NY,Democrat,House
M:M001210,M001210,Gregory F. Murphy,NC,Republican,House
M:M001212,M001212,Barry Moore,AL,Republican,House
M:M001214,M001214,Frank J. Mrvan,IN,Democrat,House
M:M001215,M001215,Mariannette Miller-Meeks,IA,Republican,House
M:M001219,M001219,James C. Moylan,GU,Republican,House
M:M001225,M001225,Kevin Mullin,CA,Democrat,House
M:M001226,M001226,Robert Menendez,NJ,Democrat,House
M:M001227,M001227,Jennifer L. McClellan,VA,Democrat,House
M:M001228,M001228,Celeste Maloy,UT,Republican,House
M:M001230,M001230,Ryan Mackenzie,PA,Republican,House
M:M001231,M001231,John W. Mannion,NY,Democrat,House
M:M001232,M001232,April McClain Delaney,MD,Democrat,House
M:M001237,M001237,Kristen McDonald Rivet,MI,Democrat,House
M:M001238,M001238,Sarah McBride,DE,Democrat,House
M:M001241,M001241,Dave Min,CA,Democrat,House
M:M001242,M001242,Bernie Moreno,OH,Republican,Senate
M:N000015,N000015,Richard E. Neal,MA,Democrat,House
M:N000026,N000026,Troy E. Nehls,TX,Republican,House
M:N000188,N000188,Donald Norcross,NJ,Democrat,House
M:O000173,O000173,Ilhan Omar,MN,Democrat,House
M:O000176,O000176,"Johnny Olszewski, Jr.",MD,Democrat,House
M:P000034,P000034,"Frank Pallone, Jr.",NJ,Democrat,House
M:P000145,P000145,Alex Padilla,CA,Democrat,Senate
M:P000197,P000197,Nancy Pelosi,CA,Democrat,House
M:P000595,P000595,Gary C. Peters,MI,Democrat,Senate
M:P000597,P000597,Chellie Pingree,ME,Democrat,House
M:P000603,P000603,Rand Paul,KY,Republican,Senate
M:P000608,P000608,Scott H. Peters,CA,Democrat,House
M:P000610,P000610,Stacey E. Plaskett,VI,Democrat,House
M:P000614,P000614,Chris Pappas,NH,Democrat,House
M:P000620,P000620,Brittany Pettersen,CO,Democrat,House
M:P000621,P000621,Nellie Pou,NJ,Democrat,House
M:R000122,R000122,Jack Reed,RI,Democrat,Senate
M:R000305,R000305,Deborah K. Ross,NC,Democrat,House
M:R000395,R000395,Harold Rogers,KY,Republican,House
M:R000579,R000579,Patrick Ryan,NY,Democrat,House
M:R000605,R000605,Mike Rounds,SD,Republican,Senate
M:R000606,R000606,Jamie Raskin,MD,Democrat,House
M:R000618,R000618,Pete Ricketts,NE,Republican,Senate
M:R000620,R000620,Luz M. Rivas,CA,Democrat,House
M:R000621,R000621,Emily Randall,WA,Democrat,House
M:R000622,R000622,Josh Riley,NY,Democrat,House
M:S000185,S000185,"Robert C. ""Bobby"" Scott",VA,Democrat,House
M:S000522,S000522,Christopher H. Smith,NJ,Republican,House
M:S001145,S001145,Janice D. Schakowsky,IL,Democrat,House
M:S001157,S001157,David Scott,GA,Democrat,House
M:S001181,S001181,Jeanne Shaheen,NH,Democrat,Senate
M:S001184,S001184,Tim Scott,SC,Republican,Senate
M:S001185,S001185,Terri A. Sewell,AL,Democrat,House
M:S001195,S001195,Jason Smith,MO,Republican,House
M:S001198,S001198,Dan Sullivan,AK,Republican,Senate
